Asset Event Count (by Type),,,
Shows number of events per event type and asset,,,
Report Parameters,,,
StartTimeFilter: 31/12/2017 06:17:00 GMT,,,
EndTimeFilter: 07/01/2018 06:17:00 GMT,,,
Language: English,,,
Asset,,Event Type,Occurrences
LV1155 N-40892,,Tag Out,88
LV1155 N-40892,,Journey Summary,90
LV1155 N-40892,,Ignition Off,90
LV1155 N-40892,,Journey Periodic,690
LV1155 N-40892,,Ignition On,90
LV1155 N-40892,,Tag In,88
LV1155 N-40892,,Harsh Acceleration,11
LV1155 N-40892,,Overspeed End,1
LV1155 N-40892,,Overspeed Start,1
LV1155 N-40892,,Heartbeat,14
LV1155 N-40892,,Harsh Cornering,5
LV1155 N-40892,,External Power Restore,1
LV1155 N-40892,,External Power Loss,1
LV1155 N-40892,Count: 13,,Sum: 1170
LV1156 A-49527,,,
LV1156 A-49527,,Tag Out,40
LV1156 A-49527,,Journey Summary,40
LV1156 A-49527,,Ignition Off,40
LV1156 A-49527,,Journey Periodic,719
LV1156 A-49527,,Harsh Acceleration,13
LV1156 A-49527,,Ignition On,40
LV1156 A-49527,,Tag In,40
LV1156 A-49527,,Heartbeat,14
LV1156 A-49527,,Harsh Cornering,2
LV1156 A-49527,,Power Up,7
LV1156 A-49527,,Harsh Deceleration,1
LV1156 A-49527,,Idle End,1
LV1156 A-49527,,Idle Start,1
LV1156 A-49527,Count: 13,,Sum: 958
LV1157 O-37298,,,
LV1157 O-37298,,Journey Periodic,1941
LV1157 O-37298,,Ignition On,82
LV1157 O-37298,,Tag In,80
LV1157 O-37298,,Tag Out,80
LV1157 O-37298,,Journey Summary,81
LV1157 O-37298,,Ignition Off,81
LV1157 O-37298,,Idle Start,13
LV1157 O-37298,,Heartbeat,14
LV1157 O-37298,,Harsh Acceleration,14
LV1157 O-37298,,Harsh Cornering,8
LV1157 O-37298,,Idle End,8
LV1157 O-37298,Count: 11,,Sum: 2402
LV1158 O-37327,,,
LV1158 O-37327,,Journey Periodic,342
LV1158 O-37327,,Harsh Cornering,9
LV1158 O-37327,,Ignition On,14
LV1158 O-37327,,Tag In,14
LV1158 O-37327,,Heartbeat,14
LV1158 O-37327,,Tag Out,13
LV1158 O-37327,,Journey Summary,13
LV1158 O-37327,,Ignition Off,13
LV1158 O-37327,,Overspeed End,1
LV1158 O-37327,,Overspeed Start,1
LV1158 O-37327,,Geofence Exit,2
LV1158 O-37327,,Geofence Entry,2
LV1158 O-37327,,Harsh Acceleration,5
LV1158 O-37327,Count: 13,,Sum: 443
LV1159 O-37326,,,
LV1159 O-37326,,Tag In,34
LV1159 O-37326,,Tag Out,33
LV1159 O-37326,,Journey Summary,32
LV1159 O-37326,,Ignition Off,32
LV1159 O-37326,,Ignition On,32
LV1159 O-37326,,Journey Periodic,299
LV1159 O-37326,,Heartbeat,14
LV1159 O-37326,,Harsh Acceleration,10
LV1159 O-37326,,Idle Start,2
LV1159 O-37326,,Idle End,1
LV1159 O-37326,,Overspeed End,5
LV1159 O-37326,,Overspeed Start,5
LV1159 O-37326,,Harsh Cornering,1
LV1159 O-37326,,Power Up,2
LV1159 O-37326,Count: 14,,Sum: 502
LV1160 H-39424,,,
LV1160 H-39424,,Power Up,14
LV1160 H-39424,,Heartbeat,14
LV1160 H-39424,Count: 2,,Sum: 28
LV1161 H-38869,,,
LV1161 H-38869,,Tag Out,70
LV1161 H-38869,,Journey Summary,71
LV1161 H-38869,,Ignition Off,71
LV1161 H-38869,,Journey Periodic,1287
LV1161 H-38869,,Ignition On,72
LV1161 H-38869,,Tag In,70
LV1161 H-38869,,Heartbeat,14
LV1161 H-38869,,Harsh Acceleration,24
LV1161 H-38869,,Harsh Cornering,20
LV1161 H-38869,,Geofence Exit,3
LV1161 H-38869,,Geofence Entry,3
LV1161 H-38869,,Idle End,2
LV1161 H-38869,,Idle Start,2
LV1161 H-38869,Count: 13,,Sum: 1709
LV1162 H-38716,,,
LV1162 H-38716,,Tag Out,76
LV1162 H-38716,,Journey Summary,74
LV1162 H-38716,,Ignition Off,77
LV1162 H-38716,,Journey Periodic,1458
LV1162 H-38716,,Ignition On,74
LV1162 H-38716,,Tag In,74
LV1162 H-38716,,Harsh Cornering,123
LV1162 H-38716,,Heartbeat,15
LV1162 H-38716,,Harsh Acceleration,40
LV1162 H-38716,,Geofence Exit,11
LV1162 H-38716,,Geofence Entry,11
LV1162 H-38716,,Harsh Deceleration,1
LV1162 H-38716,,Power Up,2
LV1162 H-38716,,Idle End,1
LV1162 H-38716,,Idle Start,1
LV1162 H-38716,Count: 15,,Sum: 2038
LV1163 H-38789,,,
LV1163 H-38789,,Tag Out,82
LV1163 H-38789,,Journey Summary,82
LV1163 H-38789,,Ignition Off,83
LV1163 H-38789,,Journey Periodic,2099
LV1163 H-38789,,Ignition On,83
LV1163 H-38789,,Tag In,81
LV1163 H-38789,,Idle End,6
LV1163 H-38789,,Idle Start,9
LV1163 H-38789,,Heartbeat,14
LV1163 H-38789,,External Power Restore,1
LV1163 H-38789,,External Power Loss,1
LV1163 H-38789,Count: 11,,Sum: 2541
LV1164 H-38824,,,
LV1164 H-38824,,Journey Periodic,1450
LV1164 H-38824,,Ignition On,71
LV1164 H-38824,,Tag In,67
LV1164 H-38824,,Tag Out,66
LV1164 H-38824,,Journey Summary,70
LV1164 H-38824,,Ignition Off,70
LV1164 H-38824,,Heartbeat,15
LV1164 H-38824,,Harsh Acceleration,15
LV1164 H-38824,,Idle Start,15
LV1164 H-38824,,Idle End,10
LV1164 H-38824,,Harsh Cornering,13
LV1164 H-38824,,Overspeed End,1
LV1164 H-38824,,Overspeed Start,1
LV1164 H-38824,,External Power Restore,1
LV1164 H-38824,,External Power Loss,1
LV1164 H-38824,Count: 15,,Sum: 1866
LV1165 C-34514,,,
LV1165 C-34514,,Heartbeat,13
LV1165 C-34514,,Tag Out,28
LV1165 C-34514,,Journey Summary,28
LV1165 C-34514,,Ignition Off,28
LV1165 C-34514,,Ignition On,28
LV1165 C-34514,,Tag In,28
LV1165 C-34514,,Journey Periodic,525
LV1165 C-34514,,Harsh Cornering,11
LV1165 C-34514,,Harsh Acceleration,17
LV1165 C-34514,,Geofence Exit,16
LV1165 C-34514,,Geofence Entry,16
LV1165 C-34514,,Overspeed End,19
LV1165 C-34514,,Overspeed Start,19
LV1165 C-34514,,External Power Restore,1
LV1165 C-34514,,External Power Loss,1
LV1165 C-34514,,Power Up,2
LV1165 C-34514,Count: 16,,Sum: 780
LV1166 J-60327,,,
LV1166 J-60327,,Tag Out,68
LV1166 J-60327,,Journey Summary,69
LV1166 J-60327,,Ignition Off,70
LV1166 J-60327,,Journey Periodic,1247
LV1166 J-60327,,Harsh Cornering,83
LV1166 J-60327,,Ignition On,69
LV1166 J-60327,,Tag In,70
LV1166 J-60327,,Heartbeat,14
LV1166 J-60327,,Harsh Acceleration,6
LV1166 J-60327,,Idle Start,2
LV1166 J-60327,,Overspeed End,1
LV1166 J-60327,,Overspeed Start,1
LV1166 J-60327,Count: 12,,Sum: 1700
LV1167 D-52696,,,
LV1167 D-52696,,Tag Out,32
LV1167 D-52696,,Journey Summary,32
LV1167 D-52696,,Ignition Off,32
LV1167 D-52696,,Ignition On,32
LV1167 D-52696,,Tag In,32
LV1167 D-52696,,Journey Periodic,873
LV1167 D-52696,,Geofence Exit,14
LV1167 D-52696,,Geofence Entry,14
LV1167 D-52696,,Harsh RPM,27
LV1167 D-52696,,Heartbeat,14
LV1167 D-52696,,Idle Start,6
LV1167 D-52696,,Harsh Acceleration,36
LV1167 D-52696,,Harsh Cornering,20
LV1167 D-52696,,Harsh Deceleration,1
LV1167 D-52696,,Idle End,4
LV1167 D-52696,,Overspeed End,1
LV1167 D-52696,,Overspeed Start,1
LV1167 D-52696,Count: 17,,Sum: 1171
LV1168 K-41583,,,
LV1168 K-41583,,Journey Periodic,8
LV1168 K-41583,,Ignition On,12
LV1168 K-41583,,Tag In,10
LV1168 K-41583,,External Power Restore,1
LV1168 K-41583,,Heartbeat,12
LV1168 K-41583,,Tag Out,9
LV1168 K-41583,,External Power Loss,1
LV1168 K-41583,,Journey Summary,11
LV1168 K-41583,,Ignition Off,11
LV1168 K-41583,,Harsh Acceleration,1
LV1168 K-41583,Count: 10,,Sum: 76
LV1169 K-41619,,,
LV1169 K-41619,,Tag Out,12
LV1169 K-41619,,Journey Summary,12
LV1169 K-41619,,Ignition Off,12
LV1169 K-41619,,Journey Periodic,218
LV1169 K-41619,,Harsh Cornering,6
LV1169 K-41619,,Harsh Acceleration,1
LV1169 K-41619,,Ignition On,12
LV1169 K-41619,,Tag In,12
LV1169 K-41619,,Geofence Exit,4
LV1169 K-41619,,Geofence Entry,4
LV1169 K-41619,,Heartbeat,13
LV1169 K-41619,,Power Up,11
LV1169 K-41619,Count: 12,,Sum: 317
LV1170 P-14809,,,
LV1170 P-14809,,Journey Periodic,1060
LV1170 P-14809,,Ignition On,53
LV1170 P-14809,,Tag In,52
LV1170 P-14809,,Tag Out,51
LV1170 P-14809,,Journey Summary,52
LV1170 P-14809,,Ignition Off,52
LV1170 P-14809,,Harsh Acceleration,9
LV1170 P-14809,,Heartbeat,14
LV1170 P-14809,,Idle Start,5
LV1170 P-14809,,Power Up,4
LV1170 P-14809,,Harsh Cornering,9
LV1170 P-14809,,Idle End,4
LV1170 P-14809,,Geofence Exit,1
LV1170 P-14809,,Geofence Entry,1
LV1170 P-14809,Count: 14,,Sum: 1367
LV1171 P-12684,,,
LV1171 P-12684,,Journey Periodic,1449
LV1171 P-12684,,Harsh Cornering,10
LV1171 P-12684,,Ignition On,59
LV1171 P-12684,,Tag In,59
LV1171 P-12684,,Tag Out,58
LV1171 P-12684,,Journey Summary,58
LV1171 P-12684,,Ignition Off,58
LV1171 P-12684,,Harsh Acceleration,22
LV1171 P-12684,,Heartbeat,14
LV1171 P-12684,,Geofence Exit,1
LV1171 P-12684,,Geofence Entry,1
LV1171 P-12684,,Idle End,1
LV1171 P-12684,,Idle Start,1
LV1171 P-12684,,Overspeed End,14
LV1171 P-12684,,Overspeed Start,14
LV1171 P-12684,,Harsh Deceleration,1
LV1171 P-12684,Count: 16,,Sum: 1820
LV1172 C-60073,,,
LV1172 C-60073,,Tag Out,87
LV1172 C-60073,,Journey Summary,86
LV1172 C-60073,,Ignition Off,86
LV1172 C-60073,,Journey Periodic,2565
LV1172 C-60073,,Harsh Cornering,20
LV1172 C-60073,,Ignition On,86
LV1172 C-60073,,Tag In,86
LV1172 C-60073,,Heartbeat,14
LV1172 C-60073,,Idle End,11
LV1172 C-60073,,Idle Start,10
LV1172 C-60073,,Overspeed End,4
LV1172 C-60073,,Overspeed Start,4
LV1172 C-60073,,Harsh Acceleration,2
LV1172 C-60073,,Power Up,1
LV1172 C-60073,Count: 14,,Sum: 3062
LV1173 C-71737,,,
LV1173 C-71737,,Tag Out,87
LV1173 C-71737,,Journey Summary,85
LV1173 C-71737,,Ignition Off,86
LV1173 C-71737,,Journey Periodic,1817
LV1173 C-71737,,Ignition On,85
LV1173 C-71737,,Tag In,86
LV1173 C-71737,,Idle End,5
LV1173 C-71737,,Idle Start,5
LV1173 C-71737,,Heartbeat,14
LV1173 C-71737,,Harsh Acceleration,4
LV1173 C-71737,,Harsh Cornering,7
LV1173 C-71737,Count: 11,,Sum: 2281
LV1174 C-65476,,,
LV1174 C-65476,,Tag Out,67
LV1174 C-65476,,Journey Summary,68
LV1174 C-65476,,Ignition Off,68
LV1174 C-65476,,Journey Periodic,1226
LV1174 C-65476,,Harsh Acceleration,52
LV1174 C-65476,,Ignition On,68
LV1174 C-65476,,Tag In,67
LV1174 C-65476,,Heartbeat,14
LV1174 C-65476,,Harsh Cornering,28
LV1174 C-65476,,Harsh RPM,3
LV1174 C-65476,,External Power Restore,1
LV1174 C-65476,,External Power Loss,1
LV1174 C-65476,,Overspeed End,10
LV1174 C-65476,,Overspeed Start,10
LV1174 C-65476,,Harsh Deceleration,1
LV1174 C-65476,Count: 15,,Sum: 1684
LV1175 C-64616,,,
LV1175 C-64616,,Heartbeat,14
LV1175 C-64616,,Tag Out,42
LV1175 C-64616,,Journey Summary,43
LV1175 C-64616,,Ignition Off,43
LV1175 C-64616,,Journey Periodic,793
LV1175 C-64616,,Harsh Acceleration,13
LV1175 C-64616,,Ignition On,42
LV1175 C-64616,,Tag In,41
LV1175 C-64616,,Idle End,3
LV1175 C-64616,,Idle Start,3
LV1175 C-64616,,Harsh RPM,2
LV1175 C-64616,,Geofence Exit,2
LV1175 C-64616,,Geofence Entry,2
LV1175 C-64616,,Harsh Cornering,2
LV1175 C-64616,Count: 14,,Sum: 1045
LV1176 C-68910,,,
LV1176 C-68910,,Tag Out,44
LV1176 C-68910,,Journey Summary,45
LV1176 C-68910,,Ignition Off,46
LV1176 C-68910,,Journey Periodic,1453
LV1176 C-68910,,Harsh Cornering,25
LV1176 C-68910,,Ignition On,45
LV1176 C-68910,,Tag In,44
LV1176 C-68910,,Harsh Acceleration,42
LV1176 C-68910,,Harsh RPM,13
LV1176 C-68910,,Harsh Deceleration,2
LV1176 C-68910,,Overspeed End,9
LV1176 C-68910,,Overspeed Start,10
LV1176 C-68910,,Heartbeat,15
LV1176 C-68910,,Geofence Exit,3
LV1176 C-68910,,Geofence Entry,3
LV1176 C-68910,,Idle End,4
LV1176 C-68910,,Idle Start,7
LV1176 C-68910,Count: 17,,Sum: 1810
LV1177 C-65155,,,
LV1177 C-65155,,Journey Periodic,1443
LV1177 C-65155,,Ignition On,41
LV1177 C-65155,,Tag In,39
LV1177 C-65155,,Tag Out,39
LV1177 C-65155,,Journey Summary,40
LV1177 C-65155,,Ignition Off,40
LV1177 C-65155,,Heartbeat,13
LV1177 C-65155,,Harsh Cornering,5
LV1177 C-65155,,Idle Start,13
LV1177 C-65155,,Power Up,5
LV1177 C-65155,,Idle End,9
LV1177 C-65155,,Harsh Acceleration,8
LV1177 C-65155,,Geofence Exit,1
LV1177 C-65155,,Geofence Entry,1
LV1177 C-65155,,Overspeed End,1
LV1177 C-65155,,Overspeed Start,1
LV1177 C-65155,Count: 16,,Sum: 1699
LV1178 E-14383,,,
LV1178 E-14383,,Journey Periodic,3136
LV1178 E-14383,,Overspeed End,135
LV1178 E-14383,,Overspeed Start,136
LV1178 E-14383,,Harsh Cornering,38
LV1178 E-14383,,Ignition On,58
LV1178 E-14383,,Tag In,58
LV1178 E-14383,,Tag Out,56
LV1178 E-14383,,Journey Summary,57
LV1178 E-14383,,Ignition Off,57
LV1178 E-14383,,Idle Start,38
LV1178 E-14383,,Harsh Deceleration,1
LV1178 E-14383,,Idle End,33
LV1178 E-14383,,Harsh Acceleration,26
LV1178 E-14383,,Heartbeat,15
LV1178 E-14383,,Power Up,3
LV1178 E-14383,,Geofence Exit,18
LV1178 E-14383,,Geofence Entry,19
LV1178 E-14383,Count: 17,,Sum: 3884
LV1179 E-14659,,,
LV1179 E-14659,,Tag Out,38
LV1179 E-14659,,Journey Summary,38
LV1179 E-14659,,Ignition Off,38
LV1179 E-14659,,Journey Periodic,1408
LV1179 E-14659,,Harsh Acceleration,77
LV1179 E-14659,,Harsh RPM,232
LV1179 E-14659,,Overspeed End,53
LV1179 E-14659,,Overspeed Start,50
LV1179 E-14659,,Ignition On,38
LV1179 E-14659,,Tag In,38
LV1179 E-14659,,Heartbeat,14
LV1179 E-14659,,Harsh Cornering,40
LV1179 E-14659,,Harsh Deceleration,1
LV1179 E-14659,,Idle End,4
LV1179 E-14659,,Idle Start,5
LV1179 E-14659,Count: 15,,Sum: 2074
LV1181 E-15080,,,
LV1181 E-15080,,Tag Out,38
LV1181 E-15080,,Journey Summary,41
LV1181 E-15080,,Ignition Off,41
LV1181 E-15080,,Journey Periodic,1001
LV1181 E-15080,,Harsh Acceleration,17
LV1181 E-15080,,Geofence Exit,6
LV1181 E-15080,,Geofence Entry,6
LV1181 E-15080,,Harsh Cornering,18
LV1181 E-15080,,Ignition On,41
LV1181 E-15080,,Tag In,38
LV1181 E-15080,,Heartbeat,13
LV1181 E-15080,,Idle End,2
LV1181 E-15080,,Idle Start,2
LV1181 E-15080,,Harsh RPM,1
LV1181 E-15080,Count: 14,,Sum: 1265
LV1182 E-15642,,,
LV1182 E-15642,,Tag Out,58
LV1182 E-15642,,Journey Summary,59
LV1182 E-15642,,Ignition Off,59
LV1182 E-15642,,Journey Periodic,929
LV1182 E-15642,,Ignition On,59
LV1182 E-15642,,Tag In,58
LV1182 E-15642,,Harsh Acceleration,44
LV1182 E-15642,,Harsh Deceleration,8
LV1182 E-15642,,Overspeed End,75
LV1182 E-15642,,Overspeed Start,75
LV1182 E-15642,,Harsh Cornering,11
LV1182 E-15642,,Harsh RPM,21
LV1182 E-15642,,Heartbeat,14
LV1182 E-15642,,Idle End,1
LV1182 E-15642,,Idle Start,1
LV1182 E-15642,Count: 15,,Sum: 1472
LV1183 K-78507,,,
LV1183 K-78507,,Journey Periodic,1033
LV1183 K-78507,,Idle Start,4
LV1183 K-78507,,Ignition On,30
LV1183 K-78507,,Tag In,29
LV1183 K-78507,,Tag Out,28
LV1183 K-78507,,Journey Summary,28
LV1183 K-78507,,Ignition Off,28
LV1183 K-78507,,Harsh Acceleration,26
LV1183 K-78507,,Harsh RPM,34
LV1183 K-78507,,Heartbeat,14
LV1183 K-78507,,Harsh Cornering,15
LV1183 K-78507,,Overspeed End,1
LV1183 K-78507,,Overspeed Start,1
LV1183 K-78507,,Idle End,2
LV1183 K-78507,Count: 14,,Sum: 1273
LV1184 K-77213,,,
LV1184 K-77213,,Tag Out,50
LV1184 K-77213,,Journey Summary,52
LV1184 K-77213,,Ignition Off,52
LV1184 K-77213,,Journey Periodic,1002
LV1184 K-77213,,Ignition On,51
LV1184 K-77213,,Tag In,49
LV1184 K-77213,,Heartbeat,13
LV1184 K-77213,,Harsh Acceleration,18
LV1184 K-77213,,Harsh Cornering,21
LV1184 K-77213,,Overspeed End,18
LV1184 K-77213,,Overspeed Start,18
LV1184 K-77213,,Harsh RPM,2
LV1184 K-77213,,Idle End,1
LV1184 K-77213,,Idle Start,1
LV1184 K-77213,,Geofence Exit,1
LV1184 K-77213,,Geofence Entry,1
LV1184 K-77213,Count: 16,,Sum: 1350
LV1185 K-75764,,,
LV1185 K-75764,,Tag Out,37
LV1185 K-75764,,Journey Summary,39
LV1185 K-75764,,Ignition Off,39
LV1185 K-75764,,Journey Periodic,1030
LV1185 K-75764,,Harsh Acceleration,18
LV1185 K-75764,,Geofence Exit,10
LV1185 K-75764,,Geofence Entry,10
LV1185 K-75764,,Harsh Cornering,19
LV1185 K-75764,,Ignition On,39
LV1185 K-75764,,Tag In,37
LV1185 K-75764,,Heartbeat,14
LV1185 K-75764,Count: 11,,Sum: 1292
LV1186 Q-10150,,,
LV1186 Q-10150,,Journey Periodic,1245
LV1186 Q-10150,,Ignition On,41
LV1186 Q-10150,,Tag In,41
LV1186 Q-10150,,Tag Out,40
LV1186 Q-10150,,Journey Summary,40
LV1186 Q-10150,,Ignition Off,40
LV1186 Q-10150,,Heartbeat,14
LV1186 Q-10150,,Harsh Cornering,4
LV1186 Q-10150,,Harsh Acceleration,9
LV1186 Q-10150,,Geofence Exit,6
LV1186 Q-10150,,Geofence Entry,6
LV1186 Q-10150,,Idle End,1
LV1186 Q-10150,,Idle Start,2
LV1186 Q-10150,,Power Up,2
LV1186 Q-10150,Count: 14,,Sum: 1491
LV1187 Q-10152,,,
LV1187 Q-10152,,Tag Out,37
LV1187 Q-10152,,Journey Summary,37
LV1187 Q-10152,,Ignition Off,37
LV1187 Q-10152,,Journey Periodic,435
LV1187 Q-10152,,Ignition On,37
LV1187 Q-10152,,Tag In,37
LV1187 Q-10152,,Heartbeat,16
LV1187 Q-10152,,Power Up,6
LV1187 Q-10152,,Harsh Acceleration,5
LV1187 Q-10152,,Harsh Cornering,3
LV1187 Q-10152,Count: 10,,Sum: 650
LV1188 Q-10153,,,
LV1188 Q-10153,,Tag Out,81
LV1188 Q-10153,,Journey Summary,86
LV1188 Q-10153,,Ignition Off,85
LV1188 Q-10153,,Journey Periodic,2520
LV1188 Q-10153,,Ignition On,84
LV1188 Q-10153,,Tag In,80
LV1188 Q-10153,,Heartbeat,15
LV1188 Q-10153,,Harsh Acceleration,21
LV1188 Q-10153,,Idle Start,11
LV1188 Q-10153,,Harsh Deceleration,1
LV1188 Q-10153,,Idle End,4
LV1188 Q-10153,,Harsh Cornering,22
LV1188 Q-10153,,Geofence Exit,1
LV1188 Q-10153,,Geofence Entry,1
LV1188 Q-10153,Count: 14,,Sum: 3012
LV1189 Q-10154,,,
LV1189 Q-10154,,Journey Periodic,197
LV1189 Q-10154,,Idle Start,3
LV1189 Q-10154,,Ignition On,13
LV1189 Q-10154,,Tag In,15
LV1189 Q-10154,,Heartbeat,6
LV1189 Q-10154,,Tag Out,16
LV1189 Q-10154,,Journey Summary,13
LV1189 Q-10154,,Ignition Off,13
LV1189 Q-10154,,Power Up,2
LV1189 Q-10154,,External Power Restore,2
LV1189 Q-10154,,External Power Loss,2
LV1189 Q-10154,,Harsh Acceleration,1
LV1189 Q-10154,Count: 12,,Sum: 283
LV1190 Q-10156,,,
LV1190 Q-10156,,Heartbeat,17
LV1190 Q-10156,,Tag In,1
LV1190 Q-10156,,Power Up,1
LV1190 Q-10156,,Tag Out,1
LV1190 Q-10156,Count: 4,,Sum: 20
LV1191 Q-10157,,,
LV1191 Q-10157,,Journey Periodic,1996
LV1191 Q-10157,,Ignition On,83
LV1191 Q-10157,,Tag In,77
LV1191 Q-10157,,Tag Out,77
LV1191 Q-10157,,Journey Summary,82
LV1191 Q-10157,,Ignition Off,82
LV1191 Q-10157,,Harsh Acceleration,25
LV1191 Q-10157,,Heartbeat,17
LV1191 Q-10157,,Harsh Cornering,35
LV1191 Q-10157,,Idle Start,7
LV1191 Q-10157,,Power Up,1
LV1191 Q-10157,,Idle End,6
LV1191 Q-10157,Count: 12,,Sum: 2488
LV1192 Q-10288,,,
LV1192 Q-10288,,Journey Periodic,1210
LV1192 Q-10288,,Harsh Cornering,13
LV1192 Q-10288,,Ignition On,86
LV1192 Q-10288,,Tag In,89
LV1192 Q-10288,,Tag Out,87
LV1192 Q-10288,,Journey Summary,85
LV1192 Q-10288,,Ignition Off,85
LV1192 Q-10288,,Heartbeat,15
LV1192 Q-10288,,Overspeed End,8
LV1192 Q-10288,,Overspeed Start,8
LV1192 Q-10288,,Harsh Acceleration,5
LV1192 Q-10288,,Harsh Deceleration,1
LV1192 Q-10288,Count: 12,,Sum: 1692
LV1193 Q-10319,,,
LV1193 Q-10319,,Tag Out,37
LV1193 Q-10319,,Journey Summary,38
LV1193 Q-10319,,Ignition Off,38
LV1193 Q-10319,,Ignition On,39
LV1193 Q-10319,,Tag In,38
LV1193 Q-10319,,Journey Periodic,209
LV1193 Q-10319,,External Power Restore,2
LV1193 Q-10319,,External Power Loss,2
LV1193 Q-10319,,Heartbeat,14
LV1193 Q-10319,,Power Up,8
LV1193 Q-10319,,Harsh Cornering,3
LV1193 Q-10319,,Harsh Acceleration,1
LV1193 Q-10319,Count: 12,,Sum: 429
LV1194 Q-10348,,,
LV1194 Q-10348,,Tag Out,53
LV1194 Q-10348,,Journey Summary,52
LV1194 Q-10348,,Ignition Off,52
LV1194 Q-10348,,Journey Periodic,701
LV1194 Q-10348,,Ignition On,52
LV1194 Q-10348,,Tag In,53
LV1194 Q-10348,,Harsh Cornering,4
LV1194 Q-10348,,Heartbeat,14
LV1194 Q-10348,,Harsh Acceleration,18
LV1194 Q-10348,,Power Up,7
LV1194 Q-10348,,Geofence Exit,1
LV1194 Q-10348,,Geofence Entry,1
LV1194 Q-10348,Count: 12,,Sum: 1008
LV1195 Q-35185,,,
LV1195 Q-35185,,Tag Out,14
LV1195 Q-35185,,Journey Summary,14
LV1195 Q-35185,,Ignition Off,15
LV1195 Q-35185,,Journey Periodic,1085
LV1195 Q-35185,,Harsh Cornering,28
LV1195 Q-35185,,Geofence Exit,23
LV1195 Q-35185,,Geofence Entry,23
LV1195 Q-35185,,Idle End,4
LV1195 Q-35185,,Idle Start,4
LV1195 Q-35185,,Harsh Acceleration,11
LV1195 Q-35185,,Ignition On,14
LV1195 Q-35185,,Tag In,14
LV1195 Q-35185,,Heartbeat,13
LV1195 Q-35185,,Power Up,3
LV1195 Q-35185,Count: 14,,Sum: 1265
LV1196 Q-35186,,,
LV1196 Q-35186,,Tag Out,33
LV1196 Q-35186,,Journey Summary,33
LV1196 Q-35186,,Ignition Off,33
LV1196 Q-35186,,Journey Periodic,4203
LV1196 Q-35186,,Harsh Acceleration,53
LV1196 Q-35186,,Geofence Exit,29
LV1196 Q-35186,,Geofence Entry,28
LV1196 Q-35186,,Harsh Cornering,70
LV1196 Q-35186,,Idle End,10
LV1196 Q-35186,,Idle Start,10
LV1196 Q-35186,,Ignition On,33
LV1196 Q-35186,,Tag In,32
LV1196 Q-35186,,Heartbeat,16
LV1196 Q-35186,,Overspeed End,1
LV1196 Q-35186,,Overspeed Start,1
LV1196 Q-35186,Count: 15,,Sum: 4585
LV1197 Q-35188,,,
LV1197 Q-35188,,Tag Out,34
LV1197 Q-35188,,Journey Summary,35
LV1197 Q-35188,,Ignition Off,35
LV1197 Q-35188,,Journey Periodic,1230
LV1197 Q-35188,,Harsh Cornering,65
LV1197 Q-35188,,Ignition On,35
LV1197 Q-35188,,Tag In,34
LV1197 Q-35188,,Geofence Exit,18
LV1197 Q-35188,,Geofence Entry,18
LV1197 Q-35188,,Harsh Acceleration,18
LV1197 Q-35188,,Heartbeat,14
LV1197 Q-35188,,Harsh Deceleration,1
LV1197 Q-35188,,Power Up,1
LV1197 Q-35188,Count: 13,,Sum: 1538
LV1198 Q-35190,,,
LV1198 Q-35190,,Tag Out,35
LV1198 Q-35190,,Journey Summary,35
LV1198 Q-35190,,Ignition Off,35
LV1198 Q-35190,,Journey Periodic,1509
LV1198 Q-35190,,Idle Start,12
LV1198 Q-35190,,Ignition On,35
LV1198 Q-35190,,Tag In,35
LV1198 Q-35190,,Heartbeat,15
LV1198 Q-35190,,Harsh Cornering,30
LV1198 Q-35190,,Harsh Acceleration,22
LV1198 Q-35190,,Idle End,5
LV1198 Q-35190,,Power Up,4
LV1198 Q-35190,,Harsh Deceleration,1
LV1198 Q-35190,Count: 13,,Sum: 1773
LV1199 P-28164,,,
LV1199 P-28164,,Heartbeat,16
LV1199 P-28164,,Tag Out,46
LV1199 P-28164,,Journey Summary,45
LV1199 P-28164,,Ignition Off,45
LV1199 P-28164,,Ignition On,45
LV1199 P-28164,,Tag In,46
LV1199 P-28164,,Journey Periodic,1463
LV1199 P-28164,,Harsh Cornering,14
LV1199 P-28164,,Harsh Acceleration,7
LV1199 P-28164,,Overspeed End,1
LV1199 P-28164,,Overspeed Start,1
LV1199 P-28164,,Idle End,2
LV1199 P-28164,,Idle Start,2
LV1199 P-28164,Count: 13,,Sum: 1733
LV1200 H-44958,,,
LV1200 H-44958,,Tag Out,118
LV1200 H-44958,,Journey Summary,120
LV1200 H-44958,,Ignition Off,121
LV1200 H-44958,,Journey Periodic,2124
LV1200 H-44958,,Ignition On,120
LV1200 H-44958,,Tag In,118
LV1200 H-44958,,Harsh Cornering,10
LV1200 H-44958,,Heartbeat,14
LV1200 H-44958,,Harsh Acceleration,30
LV1200 H-44958,,Idle End,1
LV1200 H-44958,,Idle Start,1
LV1200 H-44958,,Geofence Exit,1
LV1200 H-44958,,Geofence Entry,1
LV1200 H-44958,,Harsh Deceleration,1
LV1200 H-44958,,Overspeed End,6
LV1200 H-44958,,Overspeed Start,6
LV1200 H-44958,Count: 16,,Sum: 2792
LV1201 Q-80812,,,
LV1201 Q-80812,,Tag Out,84
LV1201 Q-80812,,Journey Summary,86
LV1201 Q-80812,,Ignition Off,85
